Name,Canonical_Smiles,SMARTS
{AKOS 92843},CC(=O)C12CCC(CC1O2)(c3ccccc3)c4ccccc4,[#6]1(-[#6]-[#6]-[#6](-[#8]2)(-[#6](=[#8])-[#6])-[#6]2-[#6]1)(-[c]3:[c]:[c]:[c]:[c]:[c]3)-[c]4:[c]:[c]:[c]:[c]:[c]4
{3-GLYCIDOXYPROPYLTRIETHOXYSILANE},CCO[Si](CCCOCC1CO1)(OCC)OCC,[#14](-[#8]-[#6]-[#6])(-[#8]-[#6]-[#6])(-[#8]-[#6]-[#6])-[#6]-[#6]-[#6]-[#8]-[#6]-[#6]1-[#8]-[#6]1
"{4-[4-(OXIRAN-2-YLMETHOXY)PHENYL]-1,2,3-THIADIAZOLE}",C(Oc1ccc(cc1)c2csnn2)C3CO3,[c]1(:[c]:[c]:[c](-[#8]-[#6]-[#6]2-[#8]-[#6]2):[c]:[c]1)-[c]3:[n]:[n]:[s]:[c]3
{4-OXIRAN-2-YLBENZONITRILE},N#Cc1ccc(cc1)C2CO2,[c]1(:[c]:[c]:[c](-[#6]#[#7]):[c]:[c]1)-[#6]2-[#8]-[#6]2
{AURORA KA-6855},[I-].C[N+](C)(C)CC1CO1,[#7+](-[#6])(-[#6])(-[#6])-[#6]-[#6]1-[#8]-[#6]1
{TUTIN},CC(=C)[C@H]1[C@@H]2OC(=O)[C@H]1[C@]3(O)[C@H]4O[C@H]4[C@]5(CO5)[C@]3(C)[C@@H]2O,[#6@@]12(-[#8]-[#6]1)-[#6@@]3(-[#1])-[#6@](-[#1])(-[#8]3)-[#6@@](-[#8])(-[#6@@]4(-[#1])-[#6@](-[#6@](-[#1])(-[#8]-[#6]4=[#8])-[#6@]5-[#8])-[#6](=[#6])-[#6])-[#6@]25-[#6]
{(-)-TERREIC ACID},CC1=C(O)C(=O)[C@@H]2O[C@@H]2C1=O,[#6@@]12(-[#1])-[#6@@](-[#1])(-[#8]1)-[#6](=[#8])-[#6](=[#6](-[#6])-[#6]2=[#8])-[#8]
"{5,5-DIMETHYL-3-[2-(OXIRANYLMETHOXY)PROPYL]-1-(OXIRANYLMETHYL)IMIDAZOLIDINE-2,4-DIONE}",CC(CN1C(=O)N(CC2CO2)C(C)(C)C1=O)OCC3CO3,[#7]1(-[#6]-[#6]2-[#8]-[#6]2)-[#6](-[#6])(-[#6])-[#6](-[#7](-[#6]-[#6](-[#6])-[#8]-[#6]-[#6]3-[#8]-[#6]3)-[#6]1=[#8])=[#8]
"{8-METHYL-3-(OXIRAN-2-YLMETHYL)-1,3-DIAZASPIRO[4.5]DECANE-2,4-DIONE}",CC1CCC2(CC1)NC(=O)N(CC3CO3)C2=O,[#6]12(-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]1)-[#7]-[#6](-[#7](-[#6]-[#6]3-[#8]-[#6]3)-[#6]2=[#8])=[#8]
{STILBERICOSIDE},OC[C@H]1O[C@@H](O[C@@H]2OC=C[C@@]3(O)[C@H](O)[C@@H]4O[C@@H]4[C@@H]23)[C@H](O)[C@@H](O)[C@@H]1O,[#6@@]12(-[#1])-[#6@@](-[#8])(-[#6]=[#6]-[#8]-[#6@]1-[#8]-[#6@]3-[#6@](-[#8])-[#6@](-[#6@](-[#8])-[#6@@](-[#6]-[#8])-[#8]3)-[#8])-[#6@@](-[#6@](-[#1])(-[#8]4)-[#6@@]24-[#1])-[#8]
