Name,Canonical_Smiles,SMARTS
"{1,2-Difluoro-4,5-dimethoxybenzene, 97 %}",COc1cc(F)c(F)cc1OC,[#9]-[c](:[c]:[c](-[#8]-[#6]):[c](-[#8]-[#6]):[c]1):[c]1-[#9]
"{4-(Trifluoromethoxy)benzyl bromide, 97 %}",FC(F)(F)Oc1ccc(CBr)cc1,[#8](-[c]1:[c]:[c]:[c](-[#6]-[#35]):[c]:[c]1)-[#6](-[#9])(-[#9])-[#9]
"{2-Ethyl-9,10-dimethoxyanthracene, 97 %}",CCc1ccc2c(OC)c3ccccc3c(OC)c2c1,[#8](-[c]1:[c]2:[c](:[c]:[c]:[c]:[c]2):[c](-[#8]-[#6]):[c](:[c]:[c]:[c](-[#6]-[#6]):[c]3):[c]13)-[#6]
"{2-Chloro-3,5-difluoroanisole, 98 %}",COc1cc(F)cc(F)c1Cl,[#8](-[c]1:[c]:[c](-[#9]):[c]:[c](-[#9]):[c]1-[#17])-[#6]
"{Phenoxyacetaldehyde dimethyl acetal, 99 %}",COC(COc1ccccc1)OC,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6]-[#6](-[#8]-[#6])-[#8]-[#6]
"{2-(Cyclohexyloxy)ethanol, 99 %}",OCCOC1CCCCC1,[#6]1-[#6]-[#6]-[#6](-[#8]-[#6]-[#6]-[#8])-[#6]-[#6]1
"{Benzyl 3-bromopropyl ether, 98 %}",BrCCCOCc1ccccc1,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#8]-[#6]-[#6]-[#6]-[#35]
"{2-Bromoethyl ether, 90 % gradetech.}",BrCCOCCBr,[#8](-[#6]-[#6]-[#35])-[#6]-[#6]-[#35]
"{4-(Trifluoromethoxy)toluene, 98 %}",Cc1ccc(OC(F)(F)F)cc1,[#8](-[c]1:[c]:[c]:[c](-[#6]):[c]:[c]1)-[#6](-[#9])(-[#9])-[#9]
"{Bromomethyl octyl ether, 90 % gradetech.}",CCCCCCCCOCBr,[#6](-[#6]-[#6]-[#8]-[#6]-[#35])-[#6]-[#6]-[#6]-[#6]-[#6]
"{Benzyl phenyl ether, 98 %}",C(Oc1ccccc1)c2ccccc2,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#8]-[c]2:[c]:[c]:[c]:[c]:[c]2
"{3-Methoxy-3-methylbutanol, 98+ %}",COC(C)(C)CCO,[#6](-[#6])(-[#6])(-[#8]-[#6])-[#6]-[#6]-[#8]
"{3-(Trifluoromethoxy)benzyl bromide, 97 %}",FC(F)(F)Oc1cccc(CBr)c1,[c]1:[c](-[#6]-[#35]):[c]:[c]:[c]:[c]1-[#8]-[#6](-[#9])(-[#9])-[#9]
"{2,5-Dimethoxytoluene, 99 %}",COc1ccc(OC)c(C)c1,[#8](-[c]1:[c]:[c]:[c](-[#8]-[#6]):[c](-[#6]):[c]1)-[#6]
"{3,5-Dimethoxytoluene, 99 %}",COc1cc(C)cc(OC)c1,[#8](-[c]1:[c]:[c](-[#6]):[c]:[c](-[#8]-[#6]):[c]1)-[#6]
"{sec-Butyl methyl ether, 99 %}",CCC(C)OC,[#6](-[#6])(-[#8]-[#6])-[#6]-[#6]
"{3,5-Diethoxytoluene, 97 %}",CCOc1cc(C)cc(OCC)c1,[c]1:[c](-[#6]):[c]:[c](-[#8]-[#6]-[#6]):[c]:[c]1-[#8]-[#6]-[#6]
