Name,Canonical_Smiles,SMARTS,,,,,,,,,,
"{(1S,2S,5S)-(-)-Myrtanol, 97 %}",CC1(C)C2CCC(CO)C1C2,[#6]-[#6]1(-[#6](-[#6]-[#6]-[#6]2-[#6]-[#8])-[#6]-[#6]12)-[#6],,,,,,,,,,
"{4-Chloro-3-ethylphenol, 97 %}",CCc1cc(O)ccc1Cl,[#6](-[c]1:[c]:[c](-[#8]):[c]:[c]:[c]1-[#17])-[#6],,,,,,,,,,
"{(1R,2R,3S,5R)-(-)-Pinanediol, 99 %}",CC1(C)C2C[C@@H](O)[C@](C)(O)C1C2,[#6]-[#6@]1(-[#6](-[#6]-[#6@@](-[#8])-[#6@@](-[#8])(-[#6])-[#6]12)-[#6]2)-[#6],,,,,,,,,,
"{Nonylphenol, gradetech. Mixture of ring and chain isomers}",CCCCCCCCCc1ccc(O)cc1,[c]1:[c](-[#8]):[c]:[c]:[c](-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]-[#6]):[c]1,,,,,,,,,,
"{Chloropropanol, 70 %}",CC(O)CCl,[#6](-[#8])(-[#6])-[#6]-[#17],,,,,,,,,,
"{Phenyl beta-D-glucopyranoside, 98 %}",OCC1OC(Oc2ccccc2)C(O)C(O)C1O,[#8](-[c]1:[c]:[c]:[c]:[c]:[c]1)-[#6]2-[#8]-[#6](-[#6]-[#8])-[#6](-[#8])-[#6](-[#8])-[#6]2-[#8],,,,,,,,,,
"{(S)-(-)-1,2,4-Butanetriol, 98 %}",OCCC(O)CO,[#6](-[#8])(-[#6]-[#8])-[#6]-[#6]-[#8],,,,,,,,,,
"{2-Hydroxyfluorene, 98 %}",Oc1ccc2c(Cc3ccccc23)c1,[#8]-[c]1:[c]:[c]:[c](-[c]2:[c](:[c]:[c]:[c]:[c]2)-[#6]3):[c]3:[c]1,,,,,,,,,,
"{(S)-(+)-2-Methoxy-2-phenylethanol, 98 %}",COC(CO)c1ccccc1,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[#8]-[#6])-[#6]-[#8],,,,,,,,,,
"{2-Methylresorcinol, 98 %}",Cc1c(O)cccc1O,[#6]-[c]1:[c](:[c]:[c]:[c]:[c]1-[#8])-[#8],,,,,,,,,,
"{2-Methyl-3-buten-1-ol, 98 %}",CC(CO)C=C,[#6](-[#6])(-[#6]-[#8])-[#6]=[#6],,,,,,,,,,
"{4-Chromanol, 99+ %}",OC1CCOc2ccccc12,[#8]-[#6]1-[#6]-[#6]-[#8]-[c](:[c]:[c]:[c]:[c]2):[c]12,,,,,,,,,,
"{3-Bromo-2,2-dimethyl-1-propanol, 96 %}",CC(C)(CO)CBr,[#6](-[#6])(-[#6])(-[#6]-[#8])-[#6]-[#35],,,,,,,,,,
"{4-Methyl-3-penten-1-ol, 97 %}",CC(=CCCO)C,[#6](/-[#6]-[#6]-[#8])=[#6](/-[#6])\-[#6],,,,,,,,,,
"{4-Isopropyl-3-methylphenol, 99 %}",CC(C)c1ccc(O)cc1C,[#6](-[c]1:[c]:[c]:[c](-[#8]):[c]:[c]1-[#6])(-[#6])-[#6],,,,,,,,,,
"{(S)-(-)-3-Chloro-1-phenyl-1-propanol, 98 %}",OC(CCCl)c1ccccc1,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[#8])-[#6]-[#6]-[#17],,,,,,,,,,
"{(S)-(+)-3-Bromo-2-methyl-1-propanol, 97 %}",CC(CO)CBr,[#6](-[#6])(-[#6]-[#8])-[#6]-[#35],,,,,,,,,,
"{2,2,3,3-Tetrafluoropropanol, 98 %}",OCC(F)(F)C(F)F,[#6](-[#9])(-[#9])(-[#6]-[#8])-[#6](-[#9])-[#9],,,,,,,,,,
"{(-)-8-Phenylmenthol, 98 %}",CC1CC[C@H](C(O)C1)C(C)(C)c2ccccc2,[#6](-[c]1:[c]:[c]:[c]:[c]:[c]1)(-[#6@@]2-[#6]-[#6]-[#6](-[#6])-[#6]-[#6]2-[#8])(-[#6])-[#6],,,,,,,,,,
"{trans-9,10-Dihydro-9,10-ethanoanthracene-11,12-dimethanol, 96 %}",OCC1C(CO)C2c3ccccc3C1c4ccccc24,[#6](-[#6](-[#6](-[#6](-[c](:[c]:[c]:[c]:[c]1):[c]12)-[c](:[c]:[c]:[c]:[c]3):[c]34)-[#6]-[#8])-[#6]24)-[#8],,,,,,,,,,
"{2-Fluoro-6-methoxyphenol, 97 %}",COc1cccc(F)c1O,[#8](-[c]1:[c]:[c]:[c]:[c](-[#9]):[c]1-[#8])-[#6],,,,,,,,,,
"{(1R)-(-)-Nopol, 98 %}",CC1(C)[C@H]2CC=C(CCO)C1C2,[#6](-[#6]1=[#6]-[#6]-[#6@@](-[#6]-[#6]12)-[#6]2(-[#6])-[#6])-[#6]-[#8],,,,,,,,,,
"{3-Ethyl-2,2-dimethyl-3-pentanol, 98 %}",CCC(O)(CC)C(C)(C)C,[#6](-[#8])(-[#6]-[#6])(-[#6]-[#6])-[#6](-[#6])(-[#6])-[#6],,,,,,,,,,
